year,region,institution,FT enrolments,PT enrolments,total enrolments
2013/14,DCSDC,NWRC,4291,12397,16688
2014/15,DCSDC,NWRC,4615,11364,15979
2015/16,DCSDC,NWRC,4521,10709,15230
2016/17,DCSDC,NWRC,4278,9686,13964
2013/14,DCSDC,NRC (Coleraine),565,1740,2305
2014/15,DCSDC,NRC (Coleraine),524,2055,2579
2015/16,DCSDC,NRC (Coleraine),542,1864,2406
2016/17,DCSDC,NRC (Coleraine),584,1838,2422
2013/14,DCSDC,Magee,3305,895,4200
2014/15,DCSDC,Magee,3440,1005,4445
2015/16,DCSDC,Magee,3455,980,4435
2016/17,DCSDC,Magee,3700,800,4500
2013/14,DCSDC,Coleraine,4350,980,5330
2014/15,DCSDC,Coleraine,4310,900,5205
2015/16,DCSDC,Coleraine,4170,955,5125
2016/17,DCSDC,Coleraine,3885,840,4725
2013/14,Donegal,Letterkenny IT,Null,Null,Null
2014/15,Donegal,Letterkenny IT,Null,Null,Null
2015/16,Donegal,Letterkenny IT,Null,Null,Null
2016/17,Donegal,Letterkenny IT,2977,876,3853
2013/14,Donegal,ETB,Null,Null,2031
2014/15,Donegal,ETB,Null,Null,2371
2015/16,Donegal,ETB,Null,Null,3660
2016/17,Donegal,ETB,Null,Null,Null
